-	_HYPHEN_
exist	_EXIST_
some	_SOME_
all	_ALL_
forall	_FORALL_
.	_PERIOD_
,	_COMMA_
\	_BACKSLASH_
(	_LPAREN_
)	_RPAREN_
not	_NOT_
!	_BANG_
and	_AND_
&	_AMPERSAND_
^	_CARET_
or	_OR_
|	_PIPE_
implies	_IMPLIES_
iff	_IFF_
->	_RIGHTARROW_
=>	_RRIGHTARROW_
<->	_RIGHTLEFTARROW_
<=>	_RRIGHTLEFTARROW_
=	_EQSIGN_
==	_EQQSIGN_
!=	_NEQSIGN_
